cov,exp,Volatility,Ratio de Sharpe,lat_lon
36368294.05085401,522218.15452,6030.613074211777,86.59453824904126,41.9140_-1.4112
37370499.75779667,513717.3184,6113.141562060923,84.03491284877272,42.0801_-4.5150
33956656.01991617,441916.12702,5827.233993921659,75.83634490754261,42.1524_2.9923
23830556.442811165,380797.5053400001,4881.6550925696465,78.00581936229187,42.2329_-6.7792
34715169.82206813,484805.52012,5891.958063502161,82.28258159594455,42.2445_-5.1985
36966636.01827646,512059.71334,6080.019409366755,84.22007873052694,42.3042_-4.5545
33831196.92759177,457721.3334,5816.459140025981,78.69415436105952,42.4306_-2.9631
22577211.162906144,386617.88948,4751.5482911263925,81.36671791845541,42.4587_-8.3965
18864953.01977072,254650.52052,4343.380367843774,58.62956935692431,42.5276_0.2985
23818543.238294844,403604.92244,4880.424493657784,82.69873306399745,42.5911_-8.4577
24275414.130665913,368186.43648000003,4927.008639191321,74.72818974809655,42.5954_-6.3826
25631125.40965352,396166.7602,5062.719171517764,78.25177474365664,42.6341_-2.2924
19795836.73256054,315490.33514,4449.251255274368,70.90863541725177,42.7018_-0.5563
22080827.174754087,386216.60306,4699.0240662029055,82.19081188321861,42.7752_-7.9490
21196187.93358641,348999.66494,4603.9317907182785,75.80469928846428,42.8177_-1.0298
28190505.969387714,399629.38194,5309.473228992469,75.26723738954308,42.8466_-4.9753
36199415.8404469,472209.46016,6016.595037099214,78.4845011585933,42.8948_-3.6470
24359748.277878616,379794.93624,4935.559570897571,76.9507349236454,42.9692_-1.9821
21445028.47071768,371553.77656,4630.877721417149,80.23398563119402,43.0159_-7.0531
34624229.08552827,431935.91919999995,5884.235641570473,73.40561213226981,43.0932_-4.2335
24355547.40580008,380221.17234000005,4935.133980531844,77.0437385975537,43.1742_-6.5667
